Keuwl Accelerometer Data File
2022-08-22 22-49-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.650549,7.451848,6.259624,9.753776,50.076500,94.989288
0.0201186,-0.715155,7.455437,6.402296,9.853141,49.475578,95.479271
0.0402214,-0.624228,7.438687,5.988936,9.570323,51.260391,94.796814
0.0603202,-0.446860,7.488937,5.775676,9.467961,52.408825,93.414749
0.0804387,-0.487538,7.578668,6.142376,9.767429,51.033707,93.680779
0.1005365,-0.736690,7.463812,6.235696,9.753722,50.259281,95.636925
0.1206611,-0.904487,7.472187,5.828318,9.519505,52.247623,96.901909
0.1407797,-0.576371,7.425228,5.939883,9.526196,51.425518,94.438591
0.1608874,-0.515055,7.365407,6.603293,9.905453,48.192337,94.000122
0.1810194,-0.624228,7.370193,6.959226,10.155798,46.744999,94.841179
0.2011380,-0.445663,7.461419,6.511169,9.912957,48.941124,93.418159
0.2212469,-0.482752,7.476973,6.022436,9.612903,51.208000,93.694183
0.2413929,-0.742672,7.437491,5.854938,9.494637,51.927551,95.702377
0.2615114,-0.815653,7.485347,5.797211,9.502809,52.406708,96.218796
0.2816288,-0.528216,7.431509,5.810371,9.448109,52.049736,94.065620
0.3017446,-0.328415,7.442276,6.229714,9.711060,50.095703,92.526726
0.3218632,-0.446860,7.392925,6.602097,9.921829,48.286118,93.458992
0.3419781,-0.645763,7.325926,6.587740,9.873425,48.147186,95.037468
0.3620994,-0.739083,7.245766,6.232107,9.585746,49.447605,95.824142
0.3822180,-0.873380,7.214659,6.202196,9.554127,49.521393,96.902428
0.4023580,-0.632603,7.315158,6.314659,9.684350,49.303822,94.942543
0.4224384,-0.515055,7.349854,6.301498,9.695077,49.460747,94.008560
0.4425570,-0.662513,7.290033,6.250053,9.625314,49.508518,95.192734
0.4626872,-0.747458,7.274480,6.118447,9.534786,50.081497,95.866592
0.4828011,-0.668495,7.316354,6.242874,9.641027,49.644215,95.220619
0.5029197,-0.655334,7.301997,6.357730,9.704090,49.068230,95.128403
