Keuwl Accelerometer Data File
2022-08-21 14-36-57

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.153433,0.509403,9.322639,9.407524,7.702681,156.171799
0.0199151,-0.377291,0.224339,9.487928,9.498076,2.648780,149.264145
0.0398415,1.174993,0.255480,10.680887,10.748360,6.423274,12.266950
0.0597567,0.528208,0.183615,10.510807,10.525673,3.045490,19.168409
0.0796829,0.061085,0.363277,9.634054,9.641094,2.189727,80.454948
0.0995980,0.195233,0.377650,9.583749,9.593173,2.539909,62.662449
0.1194751,0.453948,0.387233,9.926305,9.944221,3.439914,40.465294
0.1393902,0.298240,0.221943,10.041289,10.048169,2.120341,36.655731
0.1593302,-0.092226,0.226734,9.902350,9.905375,1.416098,112.134567
0.1792453,-0.540185,0.178824,9.849649,9.866072,3.306300,161.683273
0.1991526,-0.741407,0.250689,9.995774,10.026367,4.476978,161.318268
0.2190678,-0.616841,0.289017,10.156273,10.179091,3.837165,154.894852
0.2389496,-0.516230,0.415978,10.091595,10.113348,3.758642,141.138107
0.2588646,-0.425201,0.559708,9.974215,9.998951,4.031044,127.223320
0.2788182,-0.458738,0.454307,9.955051,9.975965,3.710721,135.278091
0.2987334,-0.353336,0.380046,9.931096,9.944644,2.991074,132.914185
0.3186185,-0.120972,0.404001,9.780179,9.789268,2.469103,106.669601
0.3385335,-0.106600,0.459098,9.753829,9.765209,2.766403,103.072075
0.3584759,-0.185651,0.463888,9.758620,9.771403,2.931045,111.811592
0.3783909,-0.331776,0.478262,9.763411,9.780746,3.411854,124.749573
0.3982982,-0.379687,0.456702,9.780179,9.798196,3.475136,129.738983
0.4182133,0.192838,0.552522,9.895164,9.912454,3.384603,70.760292
0.4381295,0.437179,0.681879,9.753829,9.787403,4.747141,57.334496
0.4580445,0.041922,0.796863,9.483137,9.516651,4.809905,86.988548
0.4779325,-0.453947,0.811236,9.401690,9.447537,5.646877,119.230263
0.4978475,-0.511439,0.792072,9.749038,9.794523,5.523964,122.850235
0.5178300,-0.144928,0.667506,9.938283,9.961729,3.931787,102.249817
0.5377450,-0.389268,0.461493,9.696337,9.715115,3.562934,130.147568
0.5576138,-0.643192,0.396814,9.327430,9.357997,4.632231,148.327652
0.5775289,-0.789317,0.523776,9.303475,9.351579,5.813925,146.432495
0.5974342,-0.607259,0.586059,9.782575,9.818910,4.930620,136.017792
0.6173492,-0.377291,0.562104,10.010147,10.033013,3.869030,123.869987
0.6372598,-0.636005,0.626782,9.957446,9.997404,5.124379,135.418442
0.6571748,-0.822854,0.598037,9.842463,9.894888,5.900599,143.990967
0.6770934,-0.659960,0.624387,9.835276,9.877149,5.277672,136.586533
0.6970085,-0.370104,0.691461,9.840067,9.871272,4.556984,118.157913
0.7169377,-0.396455,0.871123,9.883186,9.929421,5.531339,114.470642
0.7368527,-0.602468,0.808841,9.938283,9.989327,5.794677,126.680725
0.7568241,-0.755780,0.614805,10.024521,10.071753,5.551003,140.872650
0.7767391,-0.794108,0.487844,9.921514,9.965191,5.366369,148.436386
0.7965603,-0.856391,0.547731,9.658009,9.711362,6.008640,147.397812
0.8164753,-0.741407,0.839982,9.547816,9.613327,6.692752,131.433121
0.8364154,-0.727034,0.919034,9.703524,9.774025,6.885896,128.347000
0.8563304,-0.693497,0.899870,9.995774,10.060129,6.484222,127.620148
0.8762251,-0.724639,0.844773,9.983797,10.045643,6.361035,130.622696
0.8961402,-0.964189,0.782490,9.811321,9.889589,7.213193,140.938843
0.9160499,-0.906696,0.729789,9.780179,9.849193,6.786685,141.169830
0.9359649,-0.585699,0.662715,9.923909,9.963243,5.092853,131.469864
