Keuwl Accelerometer Data File
2022-08-21 14-34-15

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.936762,-0.120614,9.600517,9.794668,11.427012,356.436462
0.0199134,2.015814,-0.079890,9.535838,9.746902,11.945320,357.730469
0.0398944,1.836151,-0.072704,9.351385,9.530223,11.117247,357.732513
0.0598078,1.771472,-0.058330,9.344198,9.510813,10.740430,358.114075
0.0796559,1.649302,0.006348,9.447205,9.590095,9.903018,0.220525
0.0995693,1.639720,0.001557,9.734665,9.871798,9.561229,0.054405
0.1195233,1.699607,-0.144569,10.029311,10.173330,9.652272,355.138123
0.1394367,1.702003,-0.379328,10.261675,10.408779,9.644142,347.435760
0.1592950,2.154752,-0.197269,10.007752,10.238993,12.200042,354.769104
0.1792084,2.116425,-0.357768,9.830485,10.062092,12.317008,350.405212
0.1991194,1.831360,-0.429633,10.268862,10.439732,10.380534,346.797302
0.2190328,2.104447,-0.161337,10.240115,10.455366,11.646318,355.615997
0.2389480,1.737936,-0.055935,10.029311,10.178931,9.835913,358.156586
0.2588614,1.328305,0.032699,9.749038,9.839167,7.761089,1.410149
0.2787568,1.160620,0.023116,9.456787,9.527770,6.998240,1.141030
0.2986703,1.088755,0.054258,9.509488,9.571766,6.539480,2.852969
0.3186040,1.378610,0.032699,9.715501,9.812879,8.078466,1.358712
0.3385174,1.548691,-0.029584,9.852044,9.973068,8.935097,358.905609
0.3584928,1.836151,-0.075099,9.926305,10.094979,10.488562,357.657898
0.3784062,2.049351,0.154869,9.777784,9.991441,11.870212,4.321617
0.3982618,1.491199,0.384837,9.607703,9.730351,9.106707,14.470707
0.4181751,0.983353,0.279435,9.696337,9.750077,6.018453,15.863321
0.4380943,1.107919,0.099772,9.679568,9.743279,6.555862,5.145832
0.4580077,1.385797,0.241107,9.392109,9.496856,8.517629,9.869773
0.4779110,1.093546,0.459098,9.248379,9.324115,7.307691,22.773861
0.4978244,1.086360,0.451911,9.315453,9.389465,7.198737,22.586657
0.5177329,1.275604,0.420770,9.396899,9.492414,8.134870,18.255608
0.5376462,1.294768,0.444725,9.408877,9.507954,8.278607,18.956476
0.5575825,1.115106,0.430351,9.550212,9.624719,7.133829,21.103046
0.5774959,0.894719,0.394419,9.756225,9.805101,5.723273,23.789316
0.5973824,0.851601,0.435142,9.859231,9.905504,5.540295,27.065678
0.6172958,0.791713,0.447120,9.885582,9.927309,5.255124,29.455595
0.6372574,0.638401,0.418374,9.768202,9.797977,4.467957,33.238701
0.6571707,0.590491,0.497425,9.715501,9.746131,4.543683,40.110554
0.6770548,0.499462,0.471075,9.758620,9.782743,4.024431,43.324646
0.6969683,0.315008,0.365673,9.734665,9.746622,2.838350,49.256794
0.7168580,0.456343,0.382441,9.641240,9.659608,3.533910,39.964928
0.7367715,0.578514,0.317763,9.636450,9.659028,3.918316,28.778891
0.7566870,0.382082,0.118937,9.612494,9.620820,2.383842,17.290575
0.7766004,0.492276,0.111750,9.564585,9.577896,3.021095,12.789790
