Keuwl Accelerometer Data File
2022-08-23 21-08-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-6.182456,-5.935995,3.757330,9.358221,66.327988,223.834900
0.0199764,-6.182456,-5.813662,4.068696,9.411467,64.385582,223.239120
0.0399615,-6.704689,-5.909674,3.532105,9.610040,68.435814,221.393723
0.0599594,-7.030711,-6.002994,2.981158,9.713606,72.127167,220.491516
0.0799445,-6.975377,-6.065207,3.134299,9.760453,71.269196,221.007507
0.0999242,-6.843772,-6.031708,3.393023,9.733002,69.597679,221.391098
0.1199093,-6.455536,-5.835197,3.433701,9.354879,68.466255,222.110611
0.1398922,-6.113064,-5.677271,3.630211,9.098318,66.484444,222.883209
0.1598774,-6.170491,-5.689235,3.841079,9.230181,65.408661,222.676270
0.1798732,-6.470192,-5.835197,3.663711,9.451756,67.193375,222.045990
0.1998583,-6.644868,-5.859125,3.644568,9.579483,67.638092,221.404297
0.2198358,-6.604190,-5.569295,3.658925,9.381904,67.045616,220.140839
0.2398210,-6.812665,-5.485546,3.515356,9.426629,68.104340,218.840958
0.2598214,-7.210173,-5.658128,3.371487,9.765651,69.803589,218.122787
0.2798066,-7.339684,-5.684449,3.373880,9.877601,70.027519,217.757111
0.2997905,-7.562516,-5.969494,3.052943,10.106778,72.418098,218.285904
0.3197758,-7.028318,-5.796912,2.889931,9.557884,72.400536,219.515594
0.3397353,-5.887839,-5.138288,3.012264,8.375105,68.920135,221.111038
0.3597206,-5.658128,-5.416154,3.757330,8.687155,64.372688,223.748276
0.3797089,-5.653043,-5.428118,4.202694,8.892919,61.797523,223.837173
0.3996942,-5.578866,-5.373083,3.520141,8.507947,65.559540,223.923553
0.4196742,-5.408976,-5.329713,2.372484,7.955598,72.649536,224.577103
0.4396595,-5.188537,-5.432904,2.379662,7.880365,72.423820,226.317963
0.4596478,-5.842376,-5.629415,3.699603,8.916879,65.487053,223.936493
0.4796330,-6.355038,-5.612366,4.265206,9.490898,63.294827,221.448898
0.4996254,-6.407680,-5.914459,4.348955,9.744363,63.493156,222.707840
0.5196107,-6.192326,-6.002994,4.430311,9.695797,62.810745,224.110550
0.5396068,-5.428118,-5.670093,4.123731,8.866768,62.284786,226.249023
0.5595922,-5.023133,-5.609972,4.135695,8.591136,61.223717,228.158936
0.5795780,-4.802694,-5.533402,4.212265,8.451485,60.105446,229.043793
0.5995632,-4.019344,-5.559723,4.612465,8.266830,56.085964,234.135345
0.6195562,-3.058925,-5.423333,5.134698,8.070606,50.489315,240.575684
0.6395415,-3.351148,-5.186144,6.392127,8.887383,44.008549,237.130539
0.6595278,-4.371687,-5.499903,7.661818,10.395385,42.520096,231.520004
0.6795131,-5.363213,-6.062814,8.119446,11.465041,44.912033,228.503769
0.6994829,-5.828019,-6.443871,7.161120,11.259259,50.504284,227.872925
0.7194681,-5.878268,-6.695417,6.136095,10.818239,55.444866,228.718353
0.7394696,-5.844769,-7.059425,5.510671,10.694124,58.982563,230.377335
0.7594550,-5.911767,-7.354041,5.077271,10.714924,61.715477,231.204895
0.7794274,-6.041279,-7.521838,4.864010,10.804338,63.244091,231.229782
0.7994128,-5.808876,-7.452147,4.957330,10.670177,62.315868,232.063934
0.8193820,-5.190929,-7.236793,5.070092,10.248061,60.347607,234.348236
0.8393674,-4.687839,-7.112067,5.146662,9.952158,58.859375,236.609573
0.8593497,-4.445865,-7.128817,5.635396,10.116494,56.147945,238.050400
0.8793352,-4.225426,-7.092925,6.171987,10.308115,53.219555,239.216721
0.8993445,-4.122534,-7.147959,6.576673,10.551835,51.444466,240.026108
0.9193299,-4.053143,-6.997211,6.409175,10.318258,51.599915,239.918381
0.9393188,-4.026522,-6.908378,6.087939,10.049953,52.715885,239.764389
0.9593042,-4.062714,-7.001997,6.294021,10.254186,52.135208,239.876740
0.9792611,-3.707978,-6.872486,6.588637,10.217157,49.844810,241.651382
0.9992465,-3.214458,-6.709774,6.742077,10.040389,47.817402,244.402267
1.0192574,-2.733202,-6.451050,6.763612,9.738217,46.009174,247.038437
1.0392427,-2.591726,-6.218647,6.490531,9.354978,46.067921,247.375244
1.0591986,-2.917449,-6.300003,5.973083,9.158563,49.293404,245.151764
1.0791839,-3.660121,-6.719345,5.891727,9.657046,52.403538,241.422256
1.0991693,-3.774977,-6.743273,6.670292,10.208574,49.201488,240.759293
1.1191547,-3.358327,-6.453443,6.821040,9.972556,46.844471,242.507843
1.1391459,-3.214458,-6.350252,6.878468,9.898068,45.978336,243.151749
1.1591313,-3.092424,-6.192326,7.089335,9.907909,44.313938,243.462631
1.1791151,-2.982354,-6.086742,7.175477,9.870681,43.368813,243.896286
1.1991005,-3.159423,-6.105885,7.058228,9.853039,44.246017,242.641190
1.2190833,-3.547659,-6.314360,6.911967,10.011609,46.338596,240.670990
1.2390687,-3.873382,-6.530013,7.106085,10.399067,46.894905,239.325027
1.2590480,-3.367898,-6.311967,7.204490,10.153242,44.799629,241.916809
1.2790332,-3.015854,-6.117849,7.388737,10.055690,42.711224,243.758560
1.2990156,-2.876771,-5.813662,7.765008,10.117798,39.873627,243.672440
1.3190008,-2.534298,-5.456832,8.442776,10.367263,35.474998,245.088593
1.3390011,-1.592723,-4.972884,8.804391,10.236387,30.671373,252.240707
1.3589863,-0.311366,-4.539185,8.699107,9.817108,27.610693,266.075928
1.3789667,0.812363,-4.280461,7.985148,9.096421,28.617817,280.746033
1.3989519,1.200300,-4.242176,7.400702,8.614357,30.782927,285.798553
