Keuwl Accelerometer Data File
2022-08-23 20-37-51

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.937986,3.590131,8.726923,9.483040,23.034943,104.642250
0.0199680,-0.943969,3.620042,8.803793,9.565697,23.022633,104.615089
0.0400362,-0.797707,3.591328,9.209675,9.917262,21.774506,102.523247
0.0601561,-0.898505,3.472883,9.123533,9.803422,21.463980,104.505508
0.0802842,-1.031307,3.651148,9.351151,10.091506,22.083673,105.772911
0.1003981,-0.788136,3.556632,9.197711,9.892859,21.606873,102.494621
0.1205180,-0.981057,3.692125,9.007183,9.783844,22.983402,104.880562
0.1406705,-0.741476,3.633202,8.880363,9.623450,22.663502,101.534714
0.1607656,-0.959522,3.670291,9.057731,9.820092,22.725365,104.650902
0.1808856,-0.951147,3.692125,9.029915,9.801827,22.890770,104.446144
0.2009963,-0.880559,3.705286,8.833703,9.619711,23.322363,103.368317
0.2211405,-0.951147,3.664309,8.743673,9.528046,23.411121,104.551170
0.2412604,-0.951147,3.602095,8.691031,9.455886,23.203209,104.791557
0.2613738,-0.837488,3.471687,8.760423,9.460391,22.178757,103.562553
0.2814991,-0.867398,3.503990,8.983254,9.681383,21.891806,103.903831
0.3016189,-0.759422,3.471687,8.901898,9.585047,21.762655,102.338936
0.3218087,-0.782154,3.521936,8.736495,9.452098,22.438223,102.521080
0.3418844,-0.796511,3.515954,8.759227,9.472086,22.370663,102.764442
0.3620043,-0.870987,3.509972,9.040682,9.737168,21.802237,103.936256
0.3821413,-0.819243,3.586542,9.155837,9.867310,21.890818,102.866829
0.4022104,-0.789332,3.563810,8.967701,9.682120,22.148096,102.488579
0.4223303,-0.731905,3.604488,8.948559,9.674953,22.343693,101.478065
0.4424643,-0.668495,3.612863,8.910274,9.638083,22.409010,100.482986
0.4625815,-0.674477,3.620042,8.861220,9.595877,22.565657,100.554184
0.4827013,-0.655334,3.620042,8.857632,9.591236,22.554806,100.261101
0.5028140,-0.709173,3.648755,8.881559,9.628003,22.709873,100.998886
0.5229405,-0.645763,3.599703,8.989237,9.704702,22.138384,100.170311
0.5430604,-0.672084,3.580560,8.930613,9.645100,22.192160,100.630928
0.5631780,-0.715155,3.543471,9.091230,9.783563,21.684097,101.410347
0.5833061,-0.692423,3.576971,9.202497,9.897480,21.599174,100.955704
0.6034259,-0.836291,3.635595,9.054142,9.792569,22.392923,102.954330
0.6235415,-0.763011,3.658327,8.816954,9.576231,22.969563,101.781197
0.6436597,-0.631406,3.611667,8.947362,9.669441,22.282797,99.916458
0.6637794,-0.590728,3.536293,8.998808,9.686737,21.723263,99.483536
0.6838937,-0.667298,3.582953,9.216854,9.911268,21.575022,100.550041
0.7040066,-0.705584,3.562614,9.237193,9.925512,21.463392,101.202583
0.7241266,-0.595514,3.588935,9.084052,9.785453,21.825251,99.421280
0.7442601,-0.643370,3.622434,8.983254,9.707462,22.271734,100.071121
0.7643799,-0.721137,3.624827,9.004789,9.733737,22.314865,101.251732
0.7845011,-0.644567,3.579364,9.020343,9.725940,21.958946,100.208336
0.8046210,-0.739083,3.570989,9.054142,9.760926,21.937731,101.693336
0.8247792,-0.705584,3.575774,8.989237,9.700020,22.070297,101.162392
0.8448542,-0.742672,3.621238,8.749655,9.498494,22.903400,101.589966
0.8649741,-0.784547,3.624827,8.934201,9.673409,22.544271,102.212555
0.8850963,-0.742672,3.717250,9.276674,10.021287,22.226322,101.298409
0.9052079,-0.731905,3.651148,9.208479,9.932907,22.017733,101.335205
0.9253278,-0.707976,3.646363,9.082855,9.813025,22.242233,100.987816
0.9454766,-0.646959,3.641577,8.977272,9.709329,22.391472,100.074005
0.9655842,-0.710369,3.637988,8.804989,9.553398,22.829956,101.048798
0.9857041,-0.745065,3.659523,9.046964,9.787481,22.430912,101.507919
1.0058089,-0.605085,3.629613,9.192925,9.902025,21.815023,99.464615
1.0259438,-0.579960,3.710072,8.882756,9.643876,22.915903,98.884605
1.0460635,-0.562912,3.605685,8.644371,9.383122,22.887829,98.873268
1.0661584,-0.645763,3.606881,8.680264,9.421973,22.886257,100.150490
1.0863276,-0.578764,3.538686,8.803793,9.506000,22.160603,99.288681
1.1064475,-0.631406,3.560221,8.911469,9.617075,22.084572,100.056854
1.1265417,-0.554537,3.515954,8.959326,9.640486,21.667242,98.962868
1.1466397,-0.464806,3.537489,9.004789,9.685872,21.614569,97.485458
1.1667596,-0.515055,3.544668,8.973683,9.662140,21.759670,98.267456
1.1868957,-0.391825,3.642773,8.928220,9.650723,22.311304,96.139259
1.2070075,-0.427717,3.698107,8.787043,9.543116,22.960661,96.597420
1.2271274,-0.432503,3.695714,8.991630,9.731123,22.480844,96.674858
1.2472665,-0.503091,3.676273,9.250353,9.966801,21.856901,97.792412
1.2673781,-0.617049,3.723232,9.121140,9.871090,22.478113,99.410065
1.2874980,-0.704387,3.725625,9.081659,9.841392,22.660736,100.706284
1.3076251,-0.519841,3.698107,9.147462,9.880400,22.207815,98.001602
1.3277411,-0.599103,3.739982,9.140284,9.893997,22.508739,99.100822
1.3478609,-0.673280,3.761517,8.843274,9.633577,23.369822,100.148010
1.3679887,-0.645763,3.763910,8.849257,9.638121,23.342651,99.735291
1.3881211,-0.583550,3.719643,8.894720,9.658794,22.942953,98.916069
1.4082412,-0.516252,3.791427,8.824132,9.618043,23.443031,97.753868
1.4283199,-0.494716,3.761517,8.808578,9.590872,23.301859,97.492561
1.4484652,-0.445663,3.729214,8.880363,9.641914,22.924837,96.814865
1.4685850,-0.449252,3.680161,9.038289,9.769139,22.303297,96.959900
1.4887003,-0.505484,3.692125,8.977272,9.720016,22.543898,97.795822
1.5088073,-0.500698,3.700500,8.873184,9.626931,22.823467,97.705643
1.5289271,-0.413360,3.671487,8.796615,9.541023,22.782995,96.423683
1.5490574,-0.522234,3.757928,8.944969,9.716338,22.984409,97.911636
1.5691756,-0.555733,3.696911,8.867203,9.623059,22.860479,98.548897
1.5892959,-0.569193,3.754339,8.804989,9.588893,23.328617,98.620918
1.6093920,-0.529412,3.716053,8.990433,9.742546,22.660913,98.108147
1.6295390,-0.571586,3.730411,9.058928,9.813605,22.616606,98.711296
1.6496588,-0.546162,3.747160,8.971291,9.737739,22.884457,98.292664
1.6698334,-0.497109,3.771089,8.750852,9.541783,23.493027,97.509491
1.6899159,-0.584746,3.804588,8.725727,9.537040,23.804163,98.737701
1.7100358,-0.596710,3.797410,9.025128,9.809654,23.070248,98.930214
1.7301445,-0.537787,3.809374,9.068499,9.850798,22.988213,98.035606
1.7502631,-0.569193,3.810570,8.971291,9.763630,23.241776,98.495575
1.7703830,-0.602692,3.828516,8.901898,9.708995,23.527117,98.946190
1.7904932,-0.637388,3.845266,8.858828,9.678387,23.748690,99.411728
1.8106189,-0.469591,3.777071,8.948559,9.724376,23.041828,97.087044
1.8307387,-0.433699,3.670291,8.940184,9.673986,22.459946,96.739090
1.8508546,-0.488734,3.731607,8.701798,9.480773,23.388205,97.461639
1.8709713,-0.491127,3.704089,8.689835,9.459107,23.267025,97.552818
1.8910911,-0.673280,3.792624,8.946166,9.740185,23.295116,100.066483
1.9112319,-0.718744,3.847659,9.122337,9.926637,23.223215,100.580925
1.9313424,-0.582353,3.802195,9.200104,9.971847,22.689642,98.707886
1.9514623,-0.483948,3.760321,9.109177,9.866677,22.597593,97.333580
1.9715829,-0.476770,3.762714,8.933005,9.704840,23.005241,97.221413
1.9917520,-0.468395,3.751946,9.078070,9.834015,22.612022,97.116020
2.0118718,-0.487538,3.759124,9.139087,9.894019,22.527145,97.389694
2.0319495,-0.518644,3.762714,9.082855,9.845063,22.693829,97.848076
2.0520396,-0.433699,3.773481,9.078070,9.840660,22.704741,96.556435
2.0721595,-0.523430,3.781856,8.876774,9.662998,23.272583,97.879990
