Keuwl Accelerometer Data File
2022-08-23 20-40-51

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.694816,4.844269,8.453842,9.768170,30.066113,98.162292
0.0199855,-0.548555,4.772485,8.398808,9.675613,29.768475,96.556862
0.0399767,-0.595514,4.770092,8.099405,9.418533,30.689774,97.116173
0.0599660,-0.497109,4.777270,8.209476,9.511305,30.330349,95.940651
0.0799277,-0.564108,4.800002,8.452646,9.736810,29.759964,96.702797
0.0999188,-0.674477,4.874180,8.580961,9.891685,29.831474,97.878418
0.1199192,-0.700798,4.844269,8.509176,9.816524,29.908617,98.231606
0.1398933,-0.696012,4.858626,8.352147,9.687572,30.441069,98.152321
0.1598845,-0.599103,4.807181,8.316256,9.624345,30.221569,97.103958
0.1798902,-0.516252,4.800002,8.347362,9.642872,30.042875,96.138695
0.1998763,-0.565304,4.832305,8.280363,9.603914,30.437052,96.672386
0.2198675,-0.652941,4.819145,8.238190,9.566518,30.554247,97.715965
0.2398531,-0.707976,4.837091,8.425129,9.740712,30.124174,98.326920
0.2598402,-0.743869,4.802395,8.525927,9.813651,29.682554,98.804878
0.2798313,-0.706780,4.844269,8.498110,9.807363,29.945219,98.300896
0.2998271,-0.652941,4.828716,8.307880,9.631392,30.392084,97.700859
0.3198142,-0.588335,4.834698,8.234600,9.567083,30.602240,96.938217
0.3398054,-0.555733,4.771288,8.303095,9.592466,30.050432,96.643562
0.3598033,-0.511466,4.778467,8.428718,9.702506,29.690283,96.109428
0.3798166,-0.587139,4.811966,8.493324,9.779382,29.716019,96.956635
0.3998078,-0.571586,4.804788,8.561818,9.834501,29.472729,96.784119
0.4198143,-0.595514,4.778467,8.472985,9.745761,29.610765,97.103828
0.4398140,-0.562912,4.809574,8.356933,9.658529,30.090038,96.675514
0.4598051,-0.565304,4.819145,8.340183,9.648957,30.190168,96.690445
0.4798026,-0.652941,4.779663,8.356933,9.649343,29.995773,97.778923
0.4997935,-0.619442,4.817948,8.453842,9.750066,29.881819,97.326309
0.5197846,-0.571586,4.761717,8.441878,9.709066,29.601259,96.844902
0.5397812,-0.482752,4.748258,8.263613,9.542866,30.009024,95.805275
0.5597718,-0.540180,4.832305,8.297112,9.616914,30.371813,96.378334
0.5797629,-0.572782,4.835895,8.347362,9.663974,30.258499,96.754860
0.5997403,-0.560519,4.852644,8.417950,9.732636,30.126453,96.588913
0.6197273,-0.486341,4.783252,8.395218,9.674488,29.799625,95.805649
0.6397185,-0.503091,4.797609,8.370093,9.660674,29.956034,95.986320
0.6597125,-0.519841,4.801198,8.434700,9.719357,29.793152,96.179520
0.6796973,-0.572782,4.839484,8.548658,9.840134,29.685801,96.749901
0.6996885,-0.595514,4.834698,8.548658,9.839131,29.675560,97.022034
0.7196826,-0.613460,4.833502,8.502895,9.799913,29.813305,97.233208
0.7396718,-0.618246,4.827520,8.398808,9.707067,30.091461,97.297966
0.7596630,-0.626620,4.853841,8.203493,9.552472,30.819874,97.356079
0.7796773,-0.605085,4.840680,8.245667,9.580674,30.609659,97.125015
0.7996609,-0.629013,4.871787,8.370093,9.705072,30.407747,97.356956
0.8196521,-0.629013,4.895715,8.500503,9.829660,30.142303,97.321388
0.8396617,-0.608674,4.833502,8.590532,9.875751,29.557495,97.177376
0.8596205,-0.601496,4.805984,8.407183,9.702577,29.946753,97.133797
0.8796117,-0.548555,4.822734,8.344969,9.653920,30.184320,96.489136
0.8996263,-0.564108,4.832305,8.405986,9.712363,30.060911,96.658394
0.9196211,-0.579960,4.789235,8.543872,9.811772,29.450871,96.904709
0.9396123,-0.528216,4.767699,8.630014,9.873556,29.066870,96.322044
0.9596062,-0.567697,4.755735,8.470592,9.730890,29.484972,96.807251
0.9795852,-0.672084,4.795217,8.171190,9.498113,30.650145,97.978439
0.9995765,-0.709173,4.846662,8.112566,9.476645,31.123085,98.324554
1.0195750,-0.629013,4.813163,8.174780,9.507324,30.701353,97.445564
1.0395528,-0.538983,4.807181,8.409575,9.701570,29.908096,96.397308
1.0595441,-0.531805,4.832305,8.625228,9.900937,29.407131,96.280243
1.0795388,-0.544965,4.850252,8.574979,9.866721,29.647991,96.410759
1.0995258,-0.524626,4.865805,8.441878,9.757899,30.102133,96.153801
1.1195172,-0.515055,4.876573,8.304291,9.644039,30.561918,96.029129
