Keuwl Accelerometer Data File
2022-08-21 18-52-41

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.813272,0.298599,9.792157,9.830408,5.056096,20.161085
0.0199101,0.786922,0.305786,9.751433,9.787911,4.948152,21.235344
0.0398023,0.794109,0.277039,9.753829,9.790022,4.928236,19.232275
0.0597124,0.820459,0.351300,9.667591,9.708701,5.274552,23.179398
0.0796194,0.901906,0.356091,9.729874,9.778071,5.691199,21.545124
0.0995294,0.837228,0.341718,9.892768,9.934011,5.222810,22.203037
0.1194573,0.803690,0.303390,10.038894,10.075582,4.890965,20.681324
0.1393673,0.997726,0.286622,10.058058,10.111485,5.892554,16.028023
0.1592440,1.112710,0.229129,9.847254,9.912569,6.580970,11.635715
0.1791540,0.861183,0.197988,9.859231,9.898751,5.121549,12.947458
0.1991359,0.765363,0.183615,9.825694,9.857168,4.579880,13.490637
0.2190459,0.741408,0.284226,9.717896,9.750281,4.671099,20.974827
0.2389148,0.839623,0.435142,9.610099,9.656517,5.620124,27.395874
0.2588249,0.966585,0.463888,9.756225,9.814958,6.271198,25.637535
0.2787345,1.213321,0.442329,9.952656,10.036093,7.393270,20.029861
0.2986445,1.246858,0.387233,10.041289,10.125813,7.408249,17.253052
0.3185599,1.160620,0.344113,10.024521,10.097350,6.885697,16.514622
0.3384700,0.988144,0.305786,10.014938,10.068213,5.896777,17.194912
0.3583782,0.633610,0.209965,10.014938,10.037158,3.813105,18.334148
0.3782881,0.372501,0.097377,10.077222,10.084575,2.188117,14.650098
0.3982003,-0.130554,0.202779,9.794553,9.797522,1.410560,122.774513
0.4181103,-0.171278,0.413583,9.303475,9.314239,2.754703,112.496017
0.4380274,0.580909,0.480657,9.674777,9.704112,4.456192,39.605110
0.4579374,0.688707,0.600432,9.720292,9.763141,5.369946,41.082752
0.4778025,0.765363,0.610014,9.504697,9.554955,5.879166,38.555767
0.4977125,0.844414,0.710625,9.413668,9.478142,6.686742,40.082623
0.5176513,1.112710,0.736975,9.598122,9.690470,7.916338,33.517498
0.5375614,1.045636,0.732185,9.641240,9.725377,7.542075,35.000820
0.5574524,0.875556,0.703439,9.705919,9.770685,6.600667,38.779079
0.5773624,0.750989,0.645947,9.780179,9.830215,5.783402,40.699722
0.5972572,0.619237,0.562104,9.825694,9.861221,4.865021,42.231171
0.6171672,0.583305,0.590850,9.813717,9.848776,4.835861,45.368195
0.6371021,0.544976,0.564499,9.840067,9.871301,4.559090,46.008106
0.6570122,0.494671,0.593246,9.840067,9.870337,4.488426,50.177349
0.6769148,0.377292,0.612409,9.789762,9.816152,4.202257,58.363724
0.6968247,0.482693,0.710625,9.792157,9.829767,5.013681,55.813614
