Keuwl Accelerometer Data File
2022-08-23 20-39-17

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.656531,3.943372,8.940184,9.793268,24.092064,99.452454
0.0199975,-0.849452,3.862016,8.718549,9.573392,24.396854,102.404709
0.0399954,-0.627817,3.948457,8.885149,9.743219,24.226347,99.034576
0.0599881,-0.527019,3.893122,8.860024,9.691965,23.913029,97.709373
0.0800542,-0.524626,3.955635,8.612068,9.491575,24.859943,97.554909
0.1000468,-0.709173,4.080062,8.814561,9.738908,25.164965,99.860313
0.1199290,-0.637388,4.019045,8.978469,9.857580,24.381256,99.011597
0.1399191,-0.609871,3.986742,8.916255,9.785993,24.338823,98.697380
0.1599118,-0.534198,3.998706,8.990433,9.854080,24.166956,97.609238
0.1799068,-0.500698,4.010670,9.115159,9.971072,23.913231,97.116074
0.1999005,-0.437288,3.984349,8.961719,9.817263,24.097349,96.263229
0.2198932,-0.431306,3.983152,8.717352,9.593944,24.683191,96.180061
0.2398719,-0.511466,4.023830,8.626425,9.532472,25.183247,97.243973
0.2598645,-0.439681,4.046562,8.713762,9.617569,25.038248,96.201172
0.2798572,-0.432503,4.011866,8.885149,9.758483,24.424744,96.153061
0.2998509,-0.436092,3.953242,8.713762,9.578515,24.533379,96.294991
0.3198385,-0.433699,3.959224,8.567801,9.448320,24.932274,96.251335
0.3398313,-0.462413,4.009473,8.704191,9.594407,24.876705,96.578865
0.3598304,-0.304487,3.887140,8.594122,9.437241,24.403219,94.478935
0.3798481,-0.493520,3.909872,8.752048,9.598385,24.241217,97.194054
0.3998408,-0.531805,3.890730,8.979665,9.800764,23.620289,97.783249
0.4198533,-0.461217,3.841677,8.988040,9.785502,23.291403,96.845940
0.4398403,-0.571586,3.972385,8.706584,9.587030,24.747318,98.188072
0.4598330,-0.467199,3.981956,8.590532,9.480058,25.018843,96.691856
0.4798309,-0.349950,3.884748,8.730513,9.562195,24.073359,95.147491
0.4998200,-0.384646,3.954438,8.921041,9.765783,24.006426,95.555656
0.5198127,-0.391825,3.978367,9.023932,9.869766,23.893417,95.624855
0.5398156,-0.391825,4.004688,8.942576,9.806157,24.225882,95.588120
0.5598005,-0.373879,3.961617,8.754440,9.616363,24.443575,95.391335
0.5797932,-0.428913,3.989135,8.849257,9.716301,24.388866,96.136894
0.5997638,-0.548555,3.950849,8.922237,9.773252,24.087370,97.904678
0.6197531,-0.629013,4.010670,8.960523,9.837281,24.373602,98.913376
0.6397458,-0.553340,3.978367,8.888738,9.754140,24.317369,97.918312
0.6597552,-0.590728,3.946961,8.748459,9.615767,24.521788,98.512085
0.6797508,-0.547358,3.914658,8.674281,9.532434,24.498047,97.959648
0.6997434,-0.516252,3.992724,8.583354,9.480629,25.128592,97.367363
0.7197406,-0.516252,3.956831,8.588140,9.469909,24.921328,97.433441
0.7397365,-0.560519,3.954438,8.625228,9.505068,24.846788,98.067604
0.7597291,-0.530608,3.863212,8.862417,9.682376,23.749596,97.820587
0.7796950,-0.556929,3.917051,9.003593,9.834538,23.722099,98.092125
0.7997026,-0.501895,3.881158,9.058928,9.868103,23.364439,97.368347
0.8196953,-0.609871,3.948457,9.069695,9.910683,23.773905,98.780403
0.8396667,-0.587139,3.996313,8.965308,9.833209,24.253382,98.358109
0.8596636,-0.633799,3.955635,8.742476,9.616633,24.618801,99.102951
0.8796563,-0.582353,3.948457,8.807382,9.669510,24.378227,98.389999
0.8996521,-0.564108,3.960421,9.003593,9.852302,23.956095,98.106476
0.9196372,-0.561715,3.972385,9.010772,9.863537,24.000248,98.048546
0.9396299,-0.593121,3.978367,9.005986,9.863417,24.066944,98.479576
0.9596231,-0.603889,3.977170,8.927023,9.791543,24.257614,98.633774
0.9796088,-0.565304,3.901497,8.923434,9.755456,23.835114,98.244453
0.9996014,-0.607478,3.950849,8.861220,9.721084,24.280039,98.741272
1.0195951,-0.589532,3.954438,8.942576,9.795652,24.088968,98.479263
1.0396124,-0.584746,3.953242,8.952147,9.803621,24.056063,98.413933
1.0596051,-0.509073,3.930211,8.820542,9.669937,24.194244,97.380325
1.0795683,-0.516252,3.955635,8.846864,9.704667,24.271317,97.435669
1.0995516,-0.533001,3.912265,8.986844,9.815970,23.718473,97.758125
1.1195443,-0.594317,3.933800,8.958130,9.801842,23.946741,98.591255
1.1395415,-0.579960,3.980760,8.816954,9.691309,24.525112,98.289154
