Keuwl Accelerometer Data File
2022-08-22 23-04-23

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.627718,1.030708,9.292228,9.489854,11.713492,32.342934
0.0200088,2.001297,1.119243,9.606286,9.876164,13.425220,29.216482
0.0400509,1.845764,1.240080,9.378669,9.638676,13.338367,33.895267
0.0600658,1.816751,1.113261,9.588340,9.822229,12.528637,31.498957
0.0800611,1.722234,1.024726,9.725926,9.930246,11.642883,30.752571
0.1000891,2.126023,1.034298,9.707980,9.991728,13.687268,25.942650
0.1201039,2.063510,1.192224,9.624231,9.914904,13.907917,30.017815
0.1401043,1.891227,1.241277,9.517452,9.782607,13.370452,33.278252
0.1600917,1.946262,1.244866,9.521041,9.797339,13.639515,32.603748
0.1801065,1.973780,1.228116,9.613464,9.890539,13.593937,31.890514
0.2001128,1.848156,1.150349,9.698409,9.939724,12.651002,31.899408
0.2201311,1.790430,0.902393,9.694820,9.899974,11.684574,26.748529
0.2401459,1.939084,0.949053,9.597911,9.837715,12.676674,26.078691
0.2601882,1.821536,1.247259,9.552148,9.803937,13.013369,34.400578
0.2801982,1.688735,1.236491,9.601500,9.826980,12.297462,36.211582
0.3002130,1.826322,1.043869,9.517452,9.747153,12.463404,29.750944
0.3202190,1.851746,1.041476,9.396614,9.633794,12.740105,29.354677
0.3402202,1.675574,1.192224,9.385847,9.608489,12.358212,35.433052
0.3602343,1.537688,1.226920,9.493524,9.695195,11.706779,38.586338
0.3802479,1.621736,1.102493,9.620643,9.818466,11.520904,34.208763
0.4002590,1.770091,0.988535,9.631411,9.842484,11.887234,29.181862
0.4202733,1.819143,0.986142,9.740284,9.957655,11.993700,28.461742
0.4402911,1.958226,1.025923,9.848260,10.093334,12.651782,27.650227
0.4602943,2.010868,1.043869,9.815658,10.073748,12.997480,27.434435
0.4803085,1.982154,1.025923,9.911670,10.159855,12.690237,27.365160
0.5003226,1.925923,1.092922,9.911670,10.156025,12.593929,29.574018
0.5203308,1.985744,1.236491,9.819247,10.094044,13.399882,31.909866
0.5403451,1.976172,1.287040,9.645767,9.929882,13.738942,33.075352
0.5603628,1.780858,1.254437,9.668499,9.910850,12.696765,35.160881
0.5803800,1.600200,1.346860,9.719945,9.942434,12.143919,40.086723
0.6003942,1.688735,1.503590,9.590733,9.853667,13.265786,41.680748
0.6204082,1.792822,1.350449,9.542577,9.802994,13.236077,36.989006
0.6404200,1.532902,1.085743,9.800104,9.978510,10.850719,35.309666
0.6604342,1.416850,1.189831,9.837193,10.009671,10.651758,40.022598
0.6804514,1.685145,1.293022,9.605089,9.837142,12.469637,37.499229
0.7004660,1.884049,1.212563,9.379865,9.643744,13.434234,32.765099
0.7204801,1.910370,1.164706,9.430114,9.691909,13.347379,31.369658
0.7405429,1.881656,1.138385,9.383454,9.637726,13.190418,31.173571
0.7605448,1.857728,1.159921,9.316455,9.570418,13.228871,31.979671
0.7805590,1.945066,1.150349,9.253942,9.525862,13.722842,30.600891
0.8005658,2.052743,1.077368,9.215657,9.502779,14.120331,27.692436
0.8205688,2.041975,0.941875,9.298210,9.566269,13.595681,24.761833
0.8405830,1.837090,0.990928,9.414560,9.643173,12.500852,28.342463
0.8605825,1.723431,1.122832,9.475577,9.696264,12.247591,33.084641
0.8805915,1.788037,1.048655,9.585947,9.807504,12.201738,30.390932
0.9006057,1.626521,0.968196,9.759426,9.941297,10.976444,30.763460
