iter	MultiClass
0	1.042119524
1	0.8525131761
2	0.7206801843
3	0.5961502209
4	0.5116500095
5	0.4645154873
6	0.4135038249
7	0.3605186722
8	0.3249003292
9	0.2990838106
10	0.2745265396
11	0.2527305538
12	0.2310956002
13	0.2158990633
14	0.2024809135
15	0.1871730358
16	0.1766519727
17	0.1638521537
18	0.1522421074
19	0.1428889935
20	0.1345514165
21	0.125942825
22	0.1205653752
23	0.113729189
24	0.106919646
25	0.09921154273
26	0.09363917422
27	0.08849686358
28	0.08264967512
29	0.0792177331
30	0.07676608927
31	0.07292132578
32	0.06956268689
33	0.06670597981
34	0.06343996738
35	0.06062508431
36	0.05781581139
37	0.05506874673
38	0.05235181975
39	0.04987900628
40	0.04796095321
41	0.04625254561
42	0.04448938309
43	0.04283294828
44	0.04215856254
45	0.04080224576
46	0.04036844015
47	0.0394924921
48	0.03842758185
49	0.03749085024
50	0.03652785017
51	0.03529520307
52	0.03440512049
53	0.03370682856
54	0.03269035037
55	0.0322129506
56	0.03093510774
57	0.02975508508
58	0.02932814258
59	0.02844255431
60	0.02777917909
61	0.02700152738
62	0.02639677212
63	0.02626490747
64	0.02586717512
65	0.02566151093
66	0.02497767023
67	0.02429311516
68	0.0238449231
69	0.02347491552
70	0.0229615065
71	0.02255411612
72	0.02210640977
73	0.02192166391
74	0.02151061247
75	0.02096917958
76	0.02059097313
77	0.02019829788
78	0.02000140752
79	0.01970608606
80	0.0194690506
81	0.0191849137
82	0.01890376163
83	0.01871729066
84	0.01832284876
85	0.018007833
86	0.01767106949
87	0.01746668072
88	0.01725909374
89	0.01719964057
90	0.01698923975
91	0.01684605117
92	0.01652531742
93	0.01637563486
94	0.01626595509
95	0.0160658633
96	0.01594199968
97	0.01579624149
98	0.01565337608
99	0.01553644567
100	0.01523906963
101	0.01503846384
102	0.01489409287
103	0.01468827544
104	0.01449543349
105	0.01435863556
106	0.0141283642
107	0.01392790238
108	0.01371213281
109	0.01353862395
110	0.01343918161
111	0.01334220258
112	0.01321424956
113	0.01305088231
114	0.01289206778
115	0.01271306526
116	0.01261705106
117	0.01241108749
118	0.01225338675
119	0.01216104636
120	0.01204831617
121	0.01190053743
122	0.01177533643
123	0.01173430521
124	0.01165268054
125	0.01149636821
126	0.01144052482
127	0.0112759759
128	0.01113537296
129	0.01108620148
130	0.01096534576
131	0.01085787473
132	0.01069663876
133	0.01065908686
134	0.0105710942
135	0.01048751904
136	0.01037327947
137	0.01028527497
138	0.01019809724
139	0.01012654642
140	0.009992026314
141	0.009912421788
142	0.009800513758
143	0.009780312688
144	0.009714504528
145	0.009620560215
146	0.009590214995
147	0.009506369361
148	0.009427390058
149	0.009319513405
150	0.009258526525
151	0.009204476511
152	0.009098297519
153	0.009005924418
154	0.008934662389
155	0.00885402901
156	0.008803074417
157	0.008704463746
158	0.008645951022
159	0.008626367224
160	0.008510535287
161	0.008458991049
162	0.008378878153
163	0.008320580379
164	0.008252859189
165	0.008157022145
166	0.008108013916
167	0.008046980434
168	0.007987239374
169	0.007931751741
170	0.007875281126
171	0.007840961895
172	0.007791932506
173	0.007745433824
174	0.007695958096
175	0.007618267923
176	0.007588286517
177	0.007526905147
178	0.007457049966
179	0.007383625799
